OBJECTID,Route_Number,Route_Name,Ridership_Total,Route_Hour,Route_Hour_Description,Route_Date
1273270,10,Dalhousie,47,14.50,2:30pm to 2:59pm,2017-12-26 10:00:00.0000000
1273271,14,Leiblin Park,18,14.50,2:30pm to 2:59pm,2017-12-26 10:00:00.0000000
1273272,15,Purcells Cove,5,14.50,2:30pm to 2:59pm,2017-12-26 10:00:00.0000000
1273273,29,Barrington,38,14.50,2:30pm to 2:59pm,2017-12-26 10:00:00.0000000
1273274,4,Rosedale,26,14.50,2:30pm to 2:59pm,2017-12-26 10:00:00.0000000
1273275,52,Crosstown,120,14.50,2:30pm to 2:59pm,2017-12-26 10:00:00.0000000
1273276,55,Port Wallace,1,14.50,2:30pm to 2:59pm,2017-12-26 10:00:00.0000000
1273277,57,Russell Lake,2,14.50,2:30pm to 2:59pm,2017-12-26 10:00:00.0000000
1273278,58,Woodlawn,20,14.50,2:30pm to 2:59pm,2017-12-26 10:00:00.0000000
1273279,59,Colby,4,14.50,2:30pm to 2:59pm,2017-12-26 10:00:00.0000000
1273280,66,Penhorn,9,14.50,2:30pm to 2:59pm,2017-12-26 10:00:00.0000000
1273281,7,Robie,29,14.50,2:30pm to 2:59pm,2017-12-26 10:00:00.0000000
1273282,72,Portland Hills,11,14.50,2:30pm to 2:59pm,2017-12-26 10:00:00.0000000
1273283,10,Dalhousie,44,15.00,3:00pm to 3:29pm,2017-12-26 10:00:00.0000000
1273284,15,Purcells Cove,0,15.00,3:00pm to 3:29pm,2017-12-26 10:00:00.0000000
1273285,21,Lakeside - Timberlea,2,15.00,3:00pm to 3:29pm,2017-12-26 10:00:00.0000000
1273286,400,Beaver Bank,3,15.00,3:00pm to 3:29pm,2017-12-26 10:00:00.0000000
1273287,51,Windmill,21,15.00,3:00pm to 3:29pm,2017-12-26 10:00:00.0000000
1273288,52,Crosstown,125,15.00,3:00pm to 3:29pm,2017-12-26 10:00:00.0000000
1273289,55,Port Wallace,3,15.00,3:00pm to 3:29pm,2017-12-26 10:00:00.0000000
1273290,56,Dartmouth Crossing,4,15.00,3:00pm to 3:29pm,2017-12-26 10:00:00.0000000
1273291,57,Russell Lake,5,15.00,3:00pm to 3:29pm,2017-12-26 10:00:00.0000000
1273292,60,Eastern Passage - Heritag,46,15.00,3:00pm to 3:29pm,2017-12-26 10:00:00.0000000
1273293,62,Wildwood,8,15.00,3:00pm to 3:29pm,2017-12-26 10:00:00.0000000
1273294,66,Penhorn,8,15.00,3:00pm to 3:29pm,2017-12-26 10:00:00.0000000
1273295,68,Cherry Brook,28,15.00,3:00pm to 3:29pm,2017-12-26 10:00:00.0000000
1273296,7,Robie,38,15.00,3:00pm to 3:29pm,2017-12-26 10:00:00.0000000
1273297,72,Portland Hills,26,15.00,3:00pm to 3:29pm,2017-12-26 10:00:00.0000000
1273298,87,Glendale,23,15.00,3:00pm to 3:29pm,2017-12-26 10:00:00.0000000
1273299,88,Bedford Commons,4,15.00,3:00pm to 3:29pm,2017-12-26 10:00:00.0000000
1273300,1,Spring Garden,79,15.50,3:30pm to 3:59pm,2017-12-26 10:00:00.0000000
1273301,2,Wedgewood,56,16.50,4:30pm to 4:59pm,2017-12-24 10:00:00.0000000
1273302,21,Lakeside - Timberlea,17,16.50,4:30pm to 4:59pm,2017-12-24 10:00:00.0000000
1273303,22,Armdale,9,16.50,4:30pm to 4:59pm,2017-12-24 10:00:00.0000000
1273304,29,Barrington,50,16.50,4:30pm to 4:59pm,2017-12-24 10:00:00.0000000
1273305,400,Beaver Bank,6,16.50,4:30pm to 4:59pm,2017-12-24 10:00:00.0000000
1273306,52,Crosstown,93,16.50,4:30pm to 4:59pm,2017-12-24 10:00:00.0000000
1273307,56,Dartmouth Crossing,8,16.50,4:30pm to 4:59pm,2017-12-24 10:00:00.0000000
1273308,57,Russell Lake,2,16.50,4:30pm to 4:59pm,2017-12-24 10:00:00.0000000
1273309,59,Colby,11,16.50,4:30pm to 4:59pm,2017-12-24 10:00:00.0000000
1273310,65,Caldwell,0,16.50,4:30pm to 4:59pm,2017-12-24 10:00:00.0000000
1273311,66,Penhorn,7,16.50,4:30pm to 4:59pm,2017-12-24 10:00:00.0000000
1273312,7,Robie,46,16.50,4:30pm to 4:59pm,2017-12-24 10:00:00.0000000
1273313,72,Portland Hills,15,16.50,4:30pm to 4:59pm,2017-12-24 10:00:00.0000000
1273314,82,Millwood,6,16.50,4:30pm to 4:59pm,2017-12-24 10:00:00.0000000
1273315,87,Glendale,27,16.50,4:30pm to 4:59pm,2017-12-24 10:00:00.0000000
1273316,1,Spring Garden,190,17.00,5:00pm to 5:29pm,2017-12-24 10:00:00.0000000
1273317,10,Dalhousie,74,17.00,5:00pm to 5:29pm,2017-12-24 10:00:00.0000000
1273318,21,Lakeside - Timberlea,12,17.00,5:00pm to 5:29pm,2017-12-24 10:00:00.0000000
1273319,320,Airport - Fall River Regi,27,17.00,5:00pm to 5:29pm,2017-12-24 10:00:00.0000000
1273320,4,Rosedale,25,17.00,5:00pm to 5:29pm,2017-12-24 10:00:00.0000000
1273321,400,Beaver Bank,1,17.00,5:00pm to 5:29pm,2017-12-24 10:00:00.0000000
1273322,55,Port Wallace,6,17.00,5:00pm to 5:29pm,2017-12-24 10:00:00.0000000
1273323,59,Colby,16,17.00,5:00pm to 5:29pm,2017-12-24 10:00:00.0000000
1273324,60,Eastern Passage - Heritag,26,17.00,5:00pm to 5:29pm,2017-12-24 10:00:00.0000000
1273325,62,Wildwood,9,17.00,5:00pm to 5:29pm,2017-12-24 10:00:00.0000000
1273326,68,Cherry Brook,20,17.00,5:00pm to 5:29pm,2017-12-24 10:00:00.0000000
1273327,72,Portland Hills,13,17.00,5:00pm to 5:29pm,2017-12-24 10:00:00.0000000
1273328,80,Sackville,44,17.00,5:00pm to 5:29pm,2017-12-24 10:00:00.0000000
1273329,87,Glendale,20,17.00,5:00pm to 5:29pm,2017-12-24 10:00:00.0000000
1273330,88,Bedford Commons,4,17.00,5:00pm to 5:29pm,2017-12-24 10:00:00.0000000
1273331,90,Larry Uteck,27,17.00,5:00pm to 5:29pm,2017-12-24 10:00:00.0000000
1273332,1,Spring Garden,110,17.50,5:30pm to 5:59pm,2017-12-24 10:00:00.0000000
1273333,14,Leiblin Park,28,17.50,5:30pm to 5:59pm,2017-12-24 10:00:00.0000000
1273334,15,Purcells Cove,4,17.50,5:30pm to 5:59pm,2017-12-24 10:00:00.0000000
1273335,2,Wedgewood,52,17.50,5:30pm to 5:59pm,2017-12-24 10:00:00.0000000
1273336,21,Lakeside - Timberlea,12,17.50,5:30pm to 5:59pm,2017-12-24 10:00:00.0000000
1273337,22,Armdale,7,17.50,5:30pm to 5:59pm,2017-12-24 10:00:00.0000000
1273338,29,Barrington,27,17.50,5:30pm to 5:59pm,2017-12-24 10:00:00.0000000
